category,brand,addr
치킨,페리카나,강원도 원주시
치킨,페리카나,대구광역시 수성구
치킨,페리카나,충청남도 천안시서북구
치킨,페리카나,경상남도 양산시
치킨,페리카나,강원도 횡성군
치킨,페리카나,경상남도 합천군
치킨,페리카나,대구광역시 남구
치킨,페리카나,서울특별시 강동구
치킨,페리카나,경상북도 영덕군
치킨,페리카나,충청남도 청양군
치킨,페리카나,전라북도 남원시
치킨,페리카나,제주특별자치도 서귀포시
치킨,페리카나,대전광역시 유성구
치킨,페리카나,부산광역시 해운대구
치킨,페리카나,경기도 광명시
치킨,페리카나,충청북도 청주시서원구
치킨,페리카나,대구광역시 동구
치킨,페리카나,서울특별시 금천구
치킨,페리카나,대전광역시 대덕구
치킨,페리카나,강원도 횡성군
치킨,페리카나,광주광역시 광산구
치킨,페리카나,대전광역시 서구
치킨,페리카나,경기도 이천시
치킨,페리카나,전라남도 화순군
치킨,페리카나,경기도 화성시
치킨,페리카나,경기도 수원시영통구
치킨,페리카나,충청남도 천안시동남구
치킨,페리카나,강원도 강릉시
치킨,페리카나,경상북도 안동시
치킨,페리카나,충청남도 천안시서북구
치킨,페리카나,경기도 안성시
치킨,페리카나,경상북도 영주시
치킨,페리카나,강원도 강릉시
치킨,페리카나,경기도 포천시
치킨,페리카나,인천광역시 부평구
치킨,페리카나,경기도 용인시수지구
치킨,페리카나,충청남도 보령시
치킨,페리카나,서울특별시 금천구
치킨,페리카나,경기도 이천시
치킨,페리카나,경상남도 김해시
치킨,페리카나,인천광역시 서구
치킨,페리카나,충청남도 아산시
치킨,페리카나,충청남도 아산시
치킨,페리카나,경기도 양평군
치킨,페리카나,광주광역시 광산구
치킨,페리카나,서울특별시 중랑구
치킨,페리카나,전라북도 전주시덕진구
치킨,페리카나,충청남도 금산군
치킨,페리카나,울산광역시 동구
치킨,페리카나,경상남도 김해시
치킨,페리카나,경기도 가평군
치킨,페리카나,서울특별시 구로구
치킨,페리카나,인천광역시 서구
치킨,페리카나,제주특별자치도 제주시
치킨,페리카나,경기도 화성시
치킨,페리카나,경기도 광주시
치킨,페리카나,00 18
치킨,페리카나,경상남도 김해시
치킨,페리카나,경기도 시흥시
치킨,페리카나,서울특별시 강남구
치킨,페리카나,강원도 원주시
치킨,페리카나,충청남도 예산군
치킨,페리카나,경상북도 구미시
치킨,페리카나,강원도 영월군
치킨,페리카나,경기도 동두천시
치킨,페리카나,서울특별시 강북구
치킨,페리카나,서울특별시 도봉구
치킨,페리카나,충청남도 당진시
치킨,페리카나,경상북도 예천군
치킨,페리카나,경상북도 경산시
치킨,페리카나,강원도 홍천군
치킨,페리카나,경기도 고양시일산동구
치킨,페리카나,경기도 수원시영통구
치킨,페리카나,경기도 화성시
치킨,페리카나,충청남도 서산시
치킨,페리카나,대전광역시 중구
치킨,페리카나,울산광역시 울주군
치킨,페리카나,경상남도 김해시
치킨,페리카나,충청남도 서산시
치킨,페리카나,충청북도 음성군
치킨,페리카나,충청북도 충주시
치킨,페리카나,경기도 파주시
치킨,페리카나,충청북도 진천군
치킨,페리카나,경기도 오산시
치킨,페리카나,부산광역시 강서구
치킨,페리카나,충청남도 당진시
치킨,페리카나,제주특별자치도 제주시
치킨,페리카나,대전광역시 유성구
치킨,페리카나,대전광역시 서구
치킨,페리카나,경기도 파주시
치킨,페리카나,강원도 철원군
치킨,페리카나,강원도 춘천시
치킨,페리카나,서울특별시 강북구
치킨,페리카나,서울특별시 강북구
치킨,페리카나,인천광역시 서구
치킨,페리카나,서울특별시 성북구
치킨,페리카나,충청남도 아산시
치킨,페리카나,서울특별시 노원구
치킨,페리카나,충청남도 홍성군
치킨,페리카나,서울특별시 관악구
치킨,페리카나,대전광역시 중구
치킨,페리카나,경상남도 창원시마산회원구
치킨,페리카나,충청남도 아산시
치킨,페리카나,충청남도 천안시서북구
치킨,페리카나,경기도 평택시
치킨,페리카나,충청북도 음성군
치킨,페리카나,대전광역시 서구
치킨,페리카나,충청북도 보은군
치킨,페리카나,충청남도 아산시
치킨,페리카나,경상북도 경주시
치킨,페리카나,경기도 용인시수지구
치킨,페리카나,충청남도 천안시서북구
치킨,페리카나,서울특별시 양천구
치킨,페리카나,서울특별시 마포구
치킨,페리카나,인천광역시 미추홀구
치킨,페리카나,경상남도 창원시진해구
치킨,페리카나,경기도 수원시팔달구
치킨,페리카나,경상남도 창원시마산회원구
치킨,페리카나,강원도 원주시
치킨,페리카나,대구광역시 북구
치킨,페리카나,충청북도 단양군
치킨,페리카나,경상북도 경주시
치킨,페리카나,강원도 화천군
치킨,페리카나,대전광역시 대덕구
치킨,페리카나,광주광역시 북구
치킨,페리카나,대구광역시 서구
치킨,페리카나,경기도 안산시단원구
치킨,페리카나,전라북도 정읍시
치킨,페리카나,경상북도 경주시
치킨,페리카나,인천광역시 부평구
치킨,페리카나,부산광역시 금정구
치킨,페리카나,경기도 파주시
치킨,페리카나,경기도 의왕시
치킨,페리카나,경기도 수원시권선구
치킨,페리카나,경기도 평택시
치킨,페리카나,경기도 양평군
치킨,페리카나,충청북도 충주시
치킨,페리카나,강원도 강릉시
치킨,페리카나,충청남도 보령시
치킨,페리카나,경기도 가평군
치킨,페리카나,경상북도 포항시북구
치킨,페리카나,울산광역시 중구
치킨,페리카나,전라북도 정읍시
치킨,페리카나,서울특별시 강남구
치킨,페리카나,광주광역시 남구
치킨,페리카나,제주특별자치도 서귀포시
치킨,페리카나,서울특별시 서초구
치킨,페리카나,경기도 시흥시
치킨,페리카나,서울특별시 마포구
치킨,페리카나,충청남도 서산시
치킨,페리카나,경기도 김포시
치킨,페리카나,인천광역시 서구
치킨,페리카나,경기도 여주시
치킨,페리카나,인천광역시 미추홀구
치킨,페리카나,경기도 부천시오정구
치킨,페리카나,경기도 수원시장안구
치킨,페리카나,경상북도 성주군
치킨,페리카나,서울특별시 동작구
치킨,페리카나,경상남도 통영시
치킨,페리카나,대전광역시 서구
치킨,페리카나,경기도 여주시
치킨,페리카나,경상남도 고성군
치킨,페리카나,경기도 김포시
치킨,페리카나,충청북도 음성군
치킨,페리카나,세종특별자치시 
치킨,페리카나,강원도 철원군
치킨,페리카나,충청북도 충주시
치킨,페리카나,경상북도 의성군
치킨,페리카나,인천광역시 부평구
치킨,페리카나,경기도 광주시
치킨,페리카나,경상북도 의성군
치킨,페리카나,경상남도 진주시
치킨,페리카나,인천광역시 계양구
치킨,페리카나,경상북도 김천시
치킨,페리카나,경상북도 경주시
치킨,페리카나,서울특별시 은평구
치킨,페리카나,서울특별시 송파구
치킨,페리카나,서울특별시 관악구
치킨,페리카나,경기도 안산시단원구
치킨,페리카나,대전광역시 동구
치킨,페리카나,대구광역시 동구
치킨,페리카나,강원도 영월군
치킨,페리카나,경기도 수원시권선구
치킨,페리카나,경기도 안산시상록구
치킨,페리카나,충청남도 서천군
치킨,페리카나,경기도 의정부시
치킨,페리카나,충청남도 아산시
치킨,페리카나,강원도 동해시
치킨,페리카나,경기도 성남시수정구
치킨,페리카나,경기도 양평군
치킨,페리카나,광주광역시 서구
치킨,페리카나,전라북도 남원시
치킨,페리카나,대구광역시 동구
치킨,페리카나,강원도 속초시
치킨,페리카나,경상남도 통영시
치킨,페리카나,경기도 수원시장안구
치킨,페리카나,충청북도 영동군
치킨,페리카나,경기도 성남시중원구
치킨,페리카나,충청남도 천안시동남구
치킨,페리카나,강원도 철원군
치킨,페리카나,세종특별자치시 
치킨,페리카나,경기도 화성시
치킨,페리카나,경기도 안산시상록구
치킨,페리카나,충청남도 보령시
치킨,페리카나,경기도 시흥시
치킨,페리카나,서울특별시 동대문구
치킨,페리카나,경상남도 거창군
치킨,페리카나,강원도 인제군
치킨,페리카나,경기도 양주시
치킨,페리카나,충청남도 아산시
치킨,페리카나,경기도 고양시일산동구
치킨,페리카나,광주광역시 광산구
치킨,페리카나,서울특별시 송파구
치킨,페리카나,대구광역시 달성군
치킨,페리카나,경상북도 경주시
치킨,페리카나,강원도 원주시
치킨,페리카나,인천광역시 계양구
치킨,페리카나,경기도 부천시원미구
치킨,페리카나,서울특별시 강남구
치킨,페리카나,충청남도 서산시
치킨,페리카나,인천광역시 연수구
치킨,페리카나,강원도 원주시
치킨,페리카나,경기도 고양시덕양구
치킨,페리카나,충청남도 천안시동남구
치킨,페리카나,대전광역시 유성구
치킨,페리카나,제주특별자치도 제주시
치킨,페리카나,인천광역시 남동구
치킨,페리카나,충청남도 천안시동남구
치킨,페리카나,울산광역시 중구
치킨,페리카나,대구광역시 달서구
치킨,페리카나,울산광역시 남구
치킨,페리카나,강원도 원주시
치킨,페리카나,경기도 평택시
치킨,페리카나,강원도 원주시
치킨,페리카나,서울특별시 강동구
치킨,페리카나,서울특별시 서대문구
치킨,페리카나,경상남도 거제시
치킨,페리카나,강원도 원주시
치킨,페리카나,서울특별시 성동구
치킨,페리카나,대전광역시 서구
치킨,페리카나,서울특별시 동작구
치킨,페리카나,경기도 화성시
치킨,페리카나,경상북도 상주시
치킨,페리카나,충청남도 아산시
치킨,페리카나,경기도 연천군
치킨,페리카나,강원도 강릉시
치킨,페리카나,서울특별시 서초구
치킨,페리카나,인천광역시 부평구
치킨,페리카나,경기도 부천시소사구
치킨,페리카나,서울특별시 강동구
치킨,페리카나,경상북도 포항시남구
치킨,페리카나,대구광역시 서구
치킨,페리카나,충청남도 천안시동남구
치킨,페리카나,충청남도 공주시
치킨,페리카나,경기도 용인시처인구
치킨,페리카나,인천광역시 서구
치킨,페리카나,경기도 파주시
치킨,페리카나,충청북도 진천군
치킨,페리카나,전라남도 해남군
치킨,페리카나,경기도 군포시
치킨,페리카나,경상북도 포항시북구
치킨,페리카나,경기도 군포시
치킨,페리카나,서울특별시 강동구
치킨,페리카나,충청북도 음성군
치킨,페리카나,인천광역시 연수구
치킨,페리카나,서울특별시 양천구
치킨,페리카나,대구광역시 남구
치킨,페리카나,인천광역시 남동구
치킨,페리카나,경상남도 거제시
치킨,페리카나,인천광역시 계양구
치킨,페리카나,서울특별시 영등포구
치킨,페리카나,충청남도 공주시
치킨,페리카나,광주광역시 서구
치킨,페리카나,서울특별시 용산구
치킨,페리카나,대전광역시 서구
치킨,페리카나,인천광역시 서구
치킨,페리카나,경기도 화성시
치킨,페리카나,서울특별시 광진구
치킨,페리카나,경상북도 봉화군
치킨,페리카나,충청남도 천안시서북구
치킨,페리카나,경상북도 포항시남구
치킨,페리카나,서울특별시 은평구
치킨,페리카나,인천광역시 서구
치킨,페리카나,인천광역시 계양구
치킨,페리카나,대구광역시 중구
치킨,페리카나,경상북도 영주시
치킨,페리카나,인천광역시 강화군
치킨,페리카나,서울특별시 금천구
치킨,페리카나,강원도 강릉시
치킨,페리카나,경기도 평택시
치킨,페리카나,대구광역시 남구
치킨,페리카나,경기도 화성시
치킨,페리카나,부산광역시 사하구
치킨,페리카나,경상북도 칠곡군
치킨,페리카나,대구광역시 서구
치킨,페리카나,경기도 가평군
치킨,페리카나,경상남도 양산시
치킨,페리카나,경기도 광주시
치킨,페리카나,충청북도 청주시청원구
치킨,페리카나,경기도 평택시
치킨,페리카나,대구광역시 수성구
치킨,페리카나,충청북도 제천시
치킨,페리카나,충청북도 청주시흥덕구
치킨,페리카나,경기도 성남시분당구
치킨,페리카나,강원도 평창군
치킨,페리카나,강원도 원주시
치킨,페리카나,경기도 하남시
치킨,페리카나,강원도 춘천시
치킨,페리카나,강원도 원주시
치킨,페리카나,경기도 수원시권선구
치킨,페리카나,서울특별시 종로구
치킨,페리카나,강원도 원주시
치킨,페리카나,경기도 포천시
치킨,페리카나,전라남도 영광군
치킨,페리카나,대전광역시 서구
치킨,페리카나,강원도 춘천시
치킨,페리카나,경기도 안양시동안구
치킨,페리카나,경상북도 칠곡군
치킨,페리카나,충청남도 천안시서북구
치킨,페리카나,경기도 이천시
치킨,페리카나,경상북도 영주시
치킨,페리카나,경기도 안산시단원구
치킨,페리카나,전라남도 목포시
치킨,페리카나,경기도 화성시
치킨,페리카나,충청남도 태안군
치킨,페리카나,충청남도 서산시
치킨,페리카나,경기도 성남시분당구
치킨,페리카나,경기도 안산시단원구
치킨,페리카나,강원도 인제군
치킨,페리카나,서울특별시 동작구
치킨,페리카나,서울특별시 중랑구
치킨,페리카나,대구광역시 동구
치킨,페리카나,인천광역시 연수구
치킨,페리카나,경기도 군포시
치킨,페리카나,대전광역시 중구
치킨,페리카나,경상북도 경주시
치킨,페리카나,대전광역시 대덕구
치킨,페리카나,경기도 평택시
치킨,페리카나,강원도 강릉시
치킨,페리카나,강원도 강릉시
치킨,페리카나,경기도 안산시상록구
치킨,페리카나,경상북도 안동시
치킨,페리카나,전라남도 목포시
치킨,페리카나,강원도 고성군
치킨,페리카나,경기도 평택시
치킨,페리카나,전라남도 강진군
치킨,페리카나,경기도 수원시권선구
치킨,페리카나,충청남도 부여군
치킨,페리카나,서울특별시 마포구
치킨,페리카나,서울특별시 동작구
치킨,페리카나,서울특별시 광진구
치킨,페리카나,전라남도 여수시
치킨,페리카나,경기도 부천시오정구
치킨,페리카나,경기도 수원시팔달구
치킨,페리카나,전라남도 진도군
치킨,페리카나,충청북도 청주시상당구
치킨,페리카나,제주특별자치도 서귀포시
치킨,페리카나,서울특별시 광진구
치킨,페리카나,대전광역시 서구
치킨,페리카나,강원도 정선군
치킨,페리카나,충청남도 논산시
치킨,페리카나,대구광역시 수성구
치킨,페리카나,인천광역시 미추홀구
치킨,페리카나,경상남도 사천시
치킨,페리카나,강원도 동해시
치킨,페리카나,인천광역시 남동구
치킨,페리카나,충청남도 예산군
치킨,페리카나,경기도 파주시
치킨,페리카나,경기도 성남시중원구
치킨,페리카나,대전광역시 대덕구
치킨,페리카나,광주광역시 광산구
치킨,페리카나,강원도 춘천시
치킨,페리카나,서울특별시 동작구
치킨,페리카나,울산광역시 북구
치킨,페리카나,서울특별시 도봉구
치킨,페리카나,경상북도 울진군
치킨,페리카나,서울특별시 중구
치킨,페리카나,강원도 삼척시
치킨,페리카나,강원도 춘천시
치킨,페리카나,경기도 용인시기흥구
치킨,페리카나,충청남도 천안시서북구
치킨,페리카나,서울특별시 관악구
치킨,페리카나,충청남도 논산시
치킨,페리카나,경기도 화성시
치킨,페리카나,경기도 수원시영통구
치킨,페리카나,경상남도 진주시
치킨,페리카나,서울특별시 서초구
치킨,페리카나,인천광역시 계양구
치킨,페리카나,경기도 부천시오정구
치킨,페리카나,경기도 시흥시
치킨,페리카나,경상북도 포항시북구
